ICV327,[C@@H](C)(C=1C2=C(C=CC1)C=CC=C2)N3CCC(C(N[C@H](COC)C4=CC=CC=C4)=O)CC3
ICV178,O=C(OC=1C=NC=C(Cl)C1)C=2SC=CC2
ICV631,O=C(OCC1CCC(F)(F)CC1)N[C@@H](CC(C)C)C(N[C@H](C=O)C[C@H]2C(NCC2)=O)=O
ICV688,N(C(C)C)C=1N(C=2C(N1)=CC(Cl)=C(Cl)C2)[C@]3(O[C@@H](CO)[C@H](O)[C@@H]3O)[H]
ICV749,O=C1[C@H](C[C@H](NC([C@H]2N(C(COC3=CC(F)=CC(F)=C3)=O)C[C@@]4([H])[C@]2([H])C4(C)C)=O)C([H])=O)CCN1
ICV81,N(=O)(=O)C1=C2C(C(=O)N(CC([C@H](C[C@H]3C(=O)NCC3)NC([C@@H](NC([C@@H](NC([C@@H](NC(C)=O)[C@@H](C)C)=O)[C@@H](C)O)=O)CC(C)C)=O)=O)NC2=O)=CC=C1
ICV307,[C@@H](NC(=O)C1=CC=C(N)C=C1)(C)C=2C3=C(C=CC2)C=CC=C3
ICV160,N#CC1=CC=C(C=C1)N2N=C(C=3C=CC=CC3)C(=CC4=CC=C(C=C4)C(=O)O)C2=O
ICV266,O=C1NC(=O)N(C=C1F)C(=O)NCCCCCC
ICV724,C([C@H]1C[C@]2(C=3C(=CC(OC)=C(OC)C3)CCN2C[C@@H]1CC)[H])[C@@H]4C=5C(=CC(OC)=C(OC)C5)CCN4
ICV440,C(OC)(=O)[C@H]1[C@]2(C[C@@]3(C4=C(C=5C(N4)=CC(OC)=CC5)CCN3C[C@]2(C[C@@H](OC(=O)C6=CC(OC)=C(OC)C(OC)=C6)[C@@H]1OC)[H])[H])[H]
ICV416,[C@H](CC1=CC=CC=C1)(C(N[C@@H](CCC2=CC=CC=C2)C=CS(=O)(=O)C3=CC=CC=C3)=O)NC(=O)N4CCN(C)CC4
ICV88,[C@H](CC1=CC=CC=C1)(C(NC2=C(Cl)C=C(N(=O)=O)C=C2)=O)NC(=O)C3=CC=C(N(C)C)C=C3
ICV337,[C@@H](C)(C=1C2=C(C=CC1)C=CC=C2)N3CCC(C(NCC4=CC(F)=C(F)C=C4)=O)CC3
ICV185,[C@H](CC1=CC=CC=C1)([C@H](C[C@H](CC2=CC=CC=C2)NC(COC3=C(C)C=CC=C3C)=O)O)NC([C@@H](NC(CN4C(=O)CSC4=S)=O)CC(C)C)=O
ICV348,O=C(C1CCN([C@@H](C2=C3C=CC=CC3=CC=C2)C)CC1)NCCC4=CC=CC(F)=C4
ICV628,O=C(OC1CCC(CC1)CCCC)N[C@@H](CC(C)C)C(N[C@H](C(O)S(=O)(O)=O)C[C@H]2C(NCC2)=O)=O
ICV30,C(=C/1\C(=NN(C1=O)C2=CC=C(F)C=C2)C3=CC=CC=C3)\C=4OC(=CC4)C5=C(C(O)=O)C=CC(Cl)=C5
